Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Modern 2 Bedrooms Luxury Condo Heart Of Downtown","https://www.airbnb.com/rooms/686548924556906118","686548924556906118","35196-43885","39793","267.07","81","183","95","14","None","28","Individual","1.0","4","391","Entire condo","Yes","Midscale","181","4.8","95","No","No","No","Yes","No","No","No","Yes","72.0","0","473401479","Firm"
"2 Bedroom 3 Bathroom Whole UNIT","https://www.airbnb.com/rooms/1318924809340517763","1318924809340517763","35078-44029","39949","236.39","61","277","81","4","Low","3","Small","3.0","4","271","Entire rental unit","Yes","Midscale","89","4.55","22","No","No","No","Yes","No","No","No","Yes","92.0","0","161695322","Moderate"
"COZY & Urban Vibe In The Heart Of DT Toronto!","https://www.airbnb.com/rooms/658027285472098102","658027285472098102","34519-44576","39972","273.78","41","356","15","6","Moderate","2","Individual","1.0","4","293","Entire condo","Yes","Midscale","10","4.61","77","No","No","No","Yes","No","No","No","Yes","85.0","0","466198351","Firm"
"Spark Residence - Welcome To Downtown Toronto!","https://www.airbnb.com/rooms/943599919941655499","943599919941655499","35860-43582","40168","214.8","93","201","43","8","Low","2","Individual","1.0","3","228","Entire rental unit","Yes","Midscale","63","4.96","57","No","No","No","Yes","No","No","No","Yes","51.0","1","189654054","Firm"
"CN Views At The Nobu","https://www.airbnb.com/rooms/1158727267962948238","1158727267962948238","31688-47450","40283","142.34","95","298","27","39","High","31","Small","2.0","4","172","Entire condo","Yes","Midscale","68","5","5","No","No","No","Yes","No","No","No","Yes","143.0","1","223553142","Firm"
"Downtown TO Urban Oasis 2BR 2BTH + 1 Free Parking","https://www.airbnb.com/rooms/1314807189852907616","1314807189852907616","35988-44967","40675","387.38","72","145","16","4","Moderate","2","Individual","2.0","6","376","Entire rental unit","No","Upscale","22","5","23","No","No","No","No","No","No","No","No","69.0","0","212287994","Firm"
"Modern Residence With Parking @ Heart Of Downtown","https://www.airbnb.com/rooms/32339751","32339751","36231-45597","41447","221.64","68","276","22","10","None","3","Individual","2.0","4","282","Entire condo","Yes","Midscale","90","4.83","102","No","No","No","Yes","No","No","No","Yes","85.0","1","1424576","Moderate"
"Sanctuary Near Home Of The Blue Jays","https://www.airbnb.com/rooms/996270459102744113","996270459102744113","35820-46098","41960","188.16","67","332","44","5","High","2","Individual","1.0","2","214","Entire condo","Yes","Midscale","27","4.89","38","No","No","No","Yes","No","No","No","Yes","68.0","1","540643365","Firm"
"Entertainment District 2BR Suite +Easy Parking!","https://www.airbnb.com/rooms/994918778910556562","994918778910556562","36387-47125","42026","256.25","65","254","11","15","High","4","Individual","1.0","6","259","Entire condo","Yes","Midscale","89","4.74","42","No","No","No","Yes","No","No","No","Yes","126.0","0","540350858","Firm"
"Bright 2BR Downtown Toronto Condo","https://www.airbnb.com/rooms/1499443807011892397","1499443807011892397","37066-45939","42046","400.44","83","126","37","5","High","1","Individual","1.0","6","233","Entire rental unit","Yes","Upscale","7","4.63","24","No","No","No","Yes","No","No","No","No","68.0","0","715930777","Firm"
"Close To TMU Condo 2Bed+ 2Bath","https://www.airbnb.com/rooms/1161202399040484622","1161202399040484622","33975-50780","42287","244.43","61","282","26","23","None","28","Small","2.0","6","388","Entire rental unit","Yes","Midscale","84","5","7","No","No","No","Yes","No","Yes","No","Yes","129.0","0","578744370","Firm"
"1 Bedroom + Bunk Beds Downtown On Richmond St","https://www.airbnb.com/rooms/1289946762212207181","1289946762212207181","35538-48041","42450","204.09","73","285","15","16","Low","2","Small","1.0","4","265","Entire rental unit","No","Midscale","23","4.55","11","No","No","No","Yes","No","No","No","Yes","84.0","0","662185148","Strict"
"*Cool&Contemporary* Condo Steps From Eaton Center","https://www.airbnb.com/rooms/38044590","38044590","36865-47645","42868","400.63","35","304","70","5","Moderate","3","Small","2.0","4","398","Entire condo","Yes","Upscale","62","4.88","135","No","No","Yes","Yes","No","No","No","Yes","106.0","1","46175105","Flexible"
"Queen West:2bd+1bth+Free Parking","https://www.airbnb.com/rooms/1284442609500877429","1284442609500877429","37077-48744","43128","226.99","75","255","65","7","Moderate","5","Small","1.0","3","222","Entire rental unit","Yes","Midscale","111","4.89","19","No","No","No","Yes","No","Yes","No","Yes","71.0","1","25276389","Firm"
"Comfortable Suite In Heart Downtown With 2 Beds","https://www.airbnb.com/rooms/877621917184695731","877621917184695731","38378-48297","43599","149.31","86","340","42","22","None","2","Individual","1.0","4","119","Entire condo","Yes","Midscale","26","4.85","62","No","Yes","No","Yes","No","No","No","Yes","57.0","0","511759679","Firm"
"Luxury Suite  2BR | 2BA | W Lake View & Balcony","https://www.airbnb.com/rooms/1453970126854064245","1453970126854064245","35175-50441","43728","338.98","88","147","41","3","None","2","Individual","2.0","4","398","Entire rental unit","Yes","Upscale","53","3.67","3","No","No","No","Yes","Yes","No","No","Yes","77.0","0","517921848","Flexible"
"Luxury Downtown 2BR With Stunning View| Queen West","https://www.airbnb.com/rooms/1416245932054192466","1416245932054192466","38719-47987","43921","302.9","82","177","47","6","Low","3","Individual","2.0","6","301","Entire rental unit","Yes","Midscale","43","4.93","29","No","No","No","Yes","No","No","No","Yes","100.0","1","20517575","Firm"
"Penthouse 41st Floor With Parking, Gym & Views!","https://www.airbnb.com/rooms/1416841321236462783","1416841321236462783","39323-48272","43982","323.4","86","158","13","4","None","1","Small","1.0","6","294","Entire rental unit","Yes","Upscale","58","4.57","37","No","No","No","Yes","No","No","No","Yes","61.0","0","694478435","Firm"
"Ultra Luxury 2BR Condo Downtown TO","https://www.airbnb.com/rooms/1476600990895125758","1476600990895125758","39390-50946","45048","346.52","80","163","12","12","High","3","Moderate","2.0","4","373","Entire rental unit","Yes","Upscale","16","4.86","7","No","Yes","Yes","Yes","Yes","Yes","No","Yes","92.0","0","56494566","Firm"
"Luxury Condo Loft In The Heart Of Toronto","https://www.airbnb.com/rooms/745796149687117737","745796149687117737","36034-53863","46119","197.94","64","366","26","28","Low","28","Individual","1.5","2","343","Entire condo","Yes","Midscale","0","5","6","No","Yes","Yes","Yes","Yes","No","No","Yes","158.0","1","27098505","Limited"
"Heart Of TO, Entertainment & Financial Districts","https://www.airbnb.com/rooms/615269710335858015","615269710335858015","42106-50041","46328","308.85","52","286","34","5","Low","2","Individual","2.0","4","322","Entire condo","Yes","Upscale","80","4.98","163","No","Yes","No","Yes","No","No","No","Yes","93.0","1","9818671","Firm"
"Skyline Condo W/ Pool & Parking","https://www.airbnb.com/rooms/1444867728193418130","1444867728193418130","42153-51031","46762","315.96","87","170","13","3","Moderate","1","Individual","2.0","5","296","Entire rental unit","Yes","Upscale","46","4.75","59","No","Yes","No","Yes","Yes","No","No","Yes","71.0","0","672583453","Limited"
"Chic Central Toronto | 2BR Condo | Patio | U Of T","https://www.airbnb.com/rooms/1416741663075507332","1416741663075507332","41679-51442","46992","309.16","71","214","23","6","None","2","Small","2.0","5","336","Entire rental unit","Yes","Upscale","37","4.97","29","No","No","No","Yes","No","No","No","Yes","96.0","1","429352643","Limited"
"Downtown Dream Stay + 1 Free Parking","https://www.airbnb.com/rooms/1400567925275130070","1400567925275130070","42673-51895","47333","340.52","95","146","33","4","None","1","Small","2.0","6","323","Entire rental unit","No","Upscale","22","4.88","41","No","No","No","Yes","No","No","No","Yes","94.0","0","495454041","Firm"
"2BR 2BA Suite With Sofa Bed By Financial District","https://www.airbnb.com/rooms/1371789864016319023","1371789864016319023","40437-52830","47382","388.38","76","160","14","4","Moderate","2","Small","2.0","6","420","Entire rental unit","No","Upscale","53","4.86","14","No","No","No","Yes","No","No","No","Yes","78.0","0","540202640","Firm"
"Stunning 2BR Condo + Gym + Parking + CN Tower View","https://www.airbnb.com/rooms/1208230295288556518","1208230295288556518","42069-54290","48821","301.36","77","211","16","8","High","4","Individual","2.0","6","312","Entire condo","Yes","Midscale","155","4.63","32","No","Yes","No","Yes","No","No","Yes","Yes","124.0","0","591983189","Firm"
"Stylish Queen St Haven | Trendy Cafe |Free Parking","https://www.airbnb.com/rooms/1367618467501032809","1367618467501032809","44191-53626","49196","341.64","80","180","16","6","Moderate","1","Individual","1.0","6","293","Entire rental unit","Yes","Upscale","44","4.71","51","No","No","No","Yes","No","No","No","No","65.0","0","678797918","Firm"
"Sleek Downtown Condo | Panoramic Skyline Views","https://www.airbnb.com/rooms/1436952562247457141","1436952562247457141","44649-54138","49310","391.35","83","151","20","4","None","1","Individual","2.0","6","343","Entire rental unit","Yes","Upscale","65","4.91","43","No","No","No","Yes","No","No","No","Yes","80.0","1","695563621","Firm"
"Spacious 2bd /2bth With Parking | Eaton Centre","https://www.airbnb.com/rooms/1414774855426252139","1414774855426252139","44041-54148","49365","414.83","81","147","25","3","Low","1","Individual","2.0","8","392","Entire rental unit","Yes","Upscale","44","5","37","No","No","No","Yes","No","No","No","Yes","106.0","1","476241770","Firm"
"Home In Downtown Toronto","https://www.airbnb.com/rooms/1204451744572665836","1204451744572665836","45388-53748","49684","260.13","61","315","86","4","Low","2","Individual","1.5","4","289","Entire home","Yes","Midscale","51","4.98","44","No","No","No","Yes","No","No","No","Yes","93.0","1","503469625","Limited"
"Bright 2-Bed Condo Central Location W Parking","https://www.airbnb.com/rooms/1320453944041433730","1320453944041433730","46145-55280","50513","379.8","96","139","35","3","High","1","Small","2.0","6","239","Entire rental unit","No","Upscale","14","4.94","35","No","No","No","Yes","No","No","No","No","N/A","1","553156071","Firm"
"Spacious 2 BRs + 2 Bath  -  Heart Of City- VIDEO","https://www.airbnb.com/rooms/10156168","10156168","46566-55669","51036","212.65","81","296","49","11","Low","7","Small","2.0","4","229","Entire condo","Yes","Midscale","70","4.87","190","No","No","No","Yes","No","No","No","Yes","180.0","1","7828359","Strict"
"Luxury Condo Heart Of Downtown + Free Parking","https://www.airbnb.com/rooms/1235631624599669869","1235631624599669869","46807-57214","52146","299.69","73","237","10","11","None","28","Small","2.0","4","305","Entire rental unit","Yes","Midscale","124","4.64","50","No","No","No","Yes","Yes","No","No","Yes","61.0","0","451123821","Firm"
"Luxury King Bedroom+Den Condo + 1 Free Parking","https://www.airbnb.com/rooms/1004588217027641652","1004588217027641652","46785-57547","52372","376.78","67","208","10","6","None","2","Individual","1.0","6","342","Entire condo","Yes","Upscale","94","4.9","97","No","Yes","No","Yes","Yes","No","No","Yes","0.0","1","75726927","Firm"
"2BR + 2BA Waterfront Condo +CN Tower +Free Parking","https://www.airbnb.com/rooms/860366458763870975","860366458763870975","46155-59602","53399","293.4","78","233","34","10","High","5","Individual","2.0","6","277","Entire condo","Yes","Midscale","133","4.56","63","No","Yes","No","Yes","Yes","No","No","Yes","125.0","0","508123107","Firm"
